Year,Team,Week,OppTeam
2011,Air Force,1,South Dakota
2011,Air Force,2,TCU
2011,Air Force,3,na 
2011,Air Force,4,Tennessee State
2011,Air Force,5,Navy
2011,Air Force,6,Notre Dame
2011,Air Force,7,San Diego State
2011,Air Force,8,Boise State
2011,Air Force,9,New Mexico
2011,Air Force,10,Army
2011,Air Force,11,Wyoming
2011,Air Force,12,UNLV
2011,Air Force,13,Colorado State
2011,Air Force,15,Toledo
2011,Akron,1,Ohio State
2011,Akron,2,Temple
2011,Akron,3,Cincinnati
2011,Akron,4,VMI
2011,Akron,5,Eastern Michigan
2011,Akron,6,FIU
2011,Akron,7,na 
2011,Akron,8,Ohio
2011,Akron,9,Central Michigan
2011,Akron,10,"Miami, OH"
2011,Akron,11,Kent State
2011,Akron,12,Buffalo
2011,Akron,13,Western Michigan
2011,Alabama,1,Kent State
2011,Alabama,2,Penn State
2011,Alabama,3,North Texas
2011,Alabama,4,Arkansas
2011,Alabama,5,Florida
2011,Alabama,6,Vanderbilt
2011,Alabama,7,Mississippi
2011,Alabama,8,Tennessee
2011,Alabama,9,na 
2011,Alabama,10,LSU
2011,Alabama,11,Mississippi State
2011,Alabama,12,Georgia Southern
2011,Alabama,13,Auburn
2011,Alabama,15,LSU
2011,Arizona,1,Northern Arizona
2011,Arizona,2,Oklahoma State
2011,Arizona,3,Stanford
2011,Arizona,4,Oregon
2011,Arizona,5,USC
2011,Arizona,6,Oregon State
2011,Arizona,7,na 
2011,Arizona,8,UCLA
2011,Arizona,9,Washington
2011,Arizona,10,Utah
2011,Arizona,11,Colorado
2011,Arizona,12,Arizona State
2011,Arizona,13,Louisiana-Lafayette
2011,Arizona State,1,UC Davis
2011,Arizona State,2,Missouri
2011,Arizona State,3,Illinois
2011,Arizona State,4,USC
2011,Arizona State,5,Oregon State
2011,Arizona State,6,Utah
2011,Arizona State,7,Oregon
2011,Arizona State,8,na 
2011,Arizona State,9,Colorado
2011,Arizona State,10,UCLA
2011,Arizona State,11,Washington State
2011,Arizona State,12,Arizona
2011,Arizona State,13,California
2011,Arizona State,15,Boise State
2011,Arkansas,1,Missouri State
2011,Arkansas,2,New Mexico
2011,Arkansas,3,Troy
2011,Arkansas,4,Alabama
2011,Arkansas,5,Texas A&M
2011,Arkansas,6,Auburn
2011,Arkansas,7,na 
2011,Arkansas,8,Mississippi
2011,Arkansas,9,Vanderbilt
2011,Arkansas,10,South Carolina
2011,Arkansas,11,Tennessee
2011,Arkansas,12,Mississippi State
2011,Arkansas,13,LSU
2011,Arkansas,15,Kansas State
2011,Arkansas State,1,Illinois
2011,Arkansas State,2,Memphis
2011,Arkansas State,3,Virginia Tech
2011,Arkansas State,4,Central Arkansas
2011,Arkansas State,5,Western Kentucky
2011,Arkansas State,6,Louisiana-Monroe
2011,Arkansas State,7,na 
2011,Arkansas State,8,FIU
2011,Arkansas State,9,North Texas
2011,Arkansas State,10,Florida Atlantic
2011,Arkansas State,11,Louisiana-Lafayette
2011,Arkansas State,12,Middle Tennessee
2011,Arkansas State,14,Troy
2011,Arkansas State,15,Northern Illinois
2011,Army,1,Northern Illinois
2011,Army,2,San Diego State
2011,Army,3,Northwestern
2011,Army,4,Ball State
2011,Army,5,Tulane
2011,Army,6,"Miami, OH"
2011,Army,7,na 
2011,Army,8,Vanderbilt
2011,Army,9,Fordham
2011,Army,10,Air Force
2011,Army,11,Rutgers
2011,Army,12,Temple
2011,Army,13,na 
2011,Army,14,na 
2011,Army,15,Navy
2011,Auburn,1,Utah State
2011,Auburn,2,Mississippi State
2011,Auburn,3,Clemson
2011,Auburn,4,Florida Atlantic
2011,Auburn,5,South Carolina
2011,Auburn,6,Arkansas
2011,Auburn,7,Florida
2011,Auburn,8,LSU
2011,Auburn,9,Mississippi
2011,Auburn,10,na 
2011,Auburn,11,Georgia
2011,Auburn,12,Samford
2011,Auburn,13,Alabama
2011,Auburn,15,Virginia
2011,Ball State,1,Indiana
2011,Ball State,2,South Florida
2011,Ball State,3,Buffalo
2011,Ball State,4,Army
2011,Ball State,5,Oklahoma
2011,Ball State,6,Temple
2011,Ball State,7,Ohio
2011,Ball State,8,Central Michigan
2011,Ball State,9,Western Michigan
2011,Ball State,10,Eastern Michigan
2011,Ball State,11,na 
2011,Ball State,12,Northern Illinois
2011,Ball State,13,Toledo
2011,Baylor,1,TCU
2011,Baylor,2,na 
2011,Baylor,3,Stephen F. Austin
2011,Baylor,4,Rice
2011,Baylor,5,Kansas State
2011,Baylor,6,Iowa State
2011,Baylor,7,Texas A&M
2011,Baylor,8,na 
2011,Baylor,9,Oklahoma State
2011,Baylor,10,Missouri
2011,Baylor,11,Kansas
2011,Baylor,12,Oklahoma
2011,Baylor,13,Texas Tech
2011,Baylor,14,Texas
2011,Baylor,15,Washington
2011,Boise State,1,Georgia
2011,Boise State,2,na 
2011,Boise State,3,Toledo
2011,Boise State,4,Tulsa
2011,Boise State,5,Nevada
2011,Boise State,6,Fresno State
2011,Boise State,7,Colorado State
2011,Boise State,8,Air Force
2011,Boise State,9,na 
2011,Boise State,10,UNLV
2011,Boise State,11,TCU
2011,Boise State,12,San Diego State
2011,Boise State,13,Wyoming
2011,Boise State,14,New Mexico
2011,Boise State,15,Arizona State
2011,Boston College,1,Northwestern
2011,Boston College,2,UCF
2011,Boston College,3,Duke
2011,Boston College,4,Massachusetts
2011,Boston College,5,Wake Forest
2011,Boston College,6,Clemson
2011,Boston College,7,na 
2011,Boston College,8,Virginia Tech
2011,Boston College,9,Maryland
2011,Boston College,10,Florida State
2011,Boston College,11,NC State
2011,Boston College,12,Notre Dame
2011,Boston College,13,Miami
2011,Bowling Green,1,Idaho
2011,Bowling Green,2,Morgan State
2011,Bowling Green,3,Wyoming
2011,Bowling Green,4,"Miami, OH"
2011,Bowling Green,5,West Virginia
2011,Bowling Green,6,Western Michigan
2011,Bowling Green,7,Toledo
2011,Bowling Green,8,Temple
2011,Bowling Green,9,Kent State
2011,Bowling Green,10,na 
2011,Bowling Green,11,Northern Illinois
2011,Bowling Green,12,Ohio
2011,Bowling Green,13,Buffalo
2011,Buffalo,1,Pittsburgh
2011,Buffalo,2,Stony Brook
2011,Buffalo,3,Ball State
2011,Buffalo,4,Connecticut
2011,Buffalo,5,Tennessee
2011,Buffalo,6,Ohio
2011,Buffalo,7,Temple
2011,Buffalo,8,Northern Illinois
2011,Buffalo,9,"Miami, OH"
2011,Buffalo,10,na 
2011,Buffalo,11,Eastern Michigan
2011,Buffalo,12,Akron
2011,Buffalo,13,Bowling Green
2011,BYU,1,Mississippi
2011,BYU,2,Texas
2011,BYU,3,Utah
2011,BYU,4,UCF
2011,BYU,5,Utah State
2011,BYU,6,San Jose State
2011,BYU,7,Oregon State
2011,BYU,8,Idaho State
2011,BYU,9,TCU
2011,BYU,10,na 
2011,BYU,11,Idaho
2011,BYU,12,New Mexico State
2011,BYU,13,na 
2011,BYU,14,Hawaii
2011,BYU,15,Tulsa
2011,Central Michigan,1,South Carolina State
2011,Central Michigan,2,Kentucky
2011,Central Michigan,3,Western Michigan
2011,Central Michigan,4,Michigan State
2011,Central Michigan,5,Northern Illinois
2011,Central Michigan,6,NC State
2011,Central Michigan,7,Eastern Michigan
2011,Central Michigan,8,Ball State
2011,Central Michigan,9,Akron
2011,Central Michigan,10,Kent State
2011,Central Michigan,11,Ohio
2011,Central Michigan,12,Toledo
2011,Central Michigan,13,na 
2011,California,1,Fresno State
2011,California,2,Colorado
2011,California,3,Presbyterian
2011,California,4,Washington
2011,California,5,na 
2011,California,6,Oregon
2011,California,7,USC
2011,California,8,Utah
2011,California,9,UCLA
2011,California,10,Washington State
2011,California,11,Oregon State
2011,California,12,Stanford
2011,California,13,Arizona State
2011,California,15,Texas
2011,Cincinnati,1,Austin Peay
2011,Cincinnati,2,Tennessee
2011,Cincinnati,3,Akron
2011,Cincinnati,4,NC State
2011,Cincinnati,5,"Miami, OH"
2011,Cincinnati,6,na 
2011,Cincinnati,7,Louisville
2011,Cincinnati,8,South Florida
2011,Cincinnati,10,Pittsburgh
2011,Cincinnati,11,West Virginia
2011,Cincinnati,12,Rutgers
2011,Cincinnati,13,Syracuse
2011,Cincinnati,14,Connecticut
2011,Cincinnati,15,Vanderbilt
2011,Clemson,1,Troy
2011,Clemson,2,Wofford
2011,Clemson,3,Auburn
2011,Clemson,4,Florida State
2011,Clemson,5,Virginia Tech
2011,Clemson,6,Boston College
2011,Clemson,7,Maryland
2011,Clemson,8,North Carolina
2011,Clemson,9,Georgia Tech
2011,Clemson,10,na 
2011,Clemson,11,Wake Forest
2011,Clemson,12,NC State
2011,Clemson,13,South Carolina
2011,Clemson,14,Virginia Tech
2011,Clemson,15,West Virginia
2011,Colorado,1,Hawaii
2011,Colorado,2,California
2011,Colorado,3,Colorado State
2011,Colorado,4,Ohio State
2011,Colorado,5,Washington State
2011,Colorado,6,Stanford
2011,Colorado,7,Washington
2011,Colorado,8,Oregon
2011,Colorado,9,Arizona State
2011,Colorado,10,USC
2011,Colorado,11,Arizona
2011,Colorado,12,UCLA
2011,Colorado,13,Utah
2011,Colorado State,1,New Mexico
2011,Colorado State,2,Northern Colorado
2011,Colorado State,3,Colorado
2011,Colorado State,4,Utah State
2011,Colorado State,5,San Jose State
2011,Colorado State,6,na 
2011,Colorado State,7,Boise State
2011,Colorado State,8,UTEP
2011,Colorado State,9,UNLV
2011,Colorado State,10,na 
2011,Colorado State,11,San Diego State
2011,Colorado State,12,TCU
2011,Colorado State,13,Air Force
2011,Colorado State,14,Wyoming
2011,Connecticut,1,Fordham
2011,Connecticut,2,Vanderbilt
2011,Connecticut,3,Iowa State
2011,Connecticut,4,Buffalo
2011,Connecticut,5,Western Michigan
2011,Connecticut,6,West Virginia
2011,Connecticut,7,South Florida
2011,Connecticut,8,na 
2011,Connecticut,9,Pittsburgh
2011,Connecticut,10,Syracuse
2011,Connecticut,11,na 
2011,Connecticut,12,Louisville
2011,Connecticut,13,Rutgers
2011,Connecticut,14,Cincinnati
2011,Duke,1,Richmond
2011,Duke,2,Stanford
2011,Duke,3,Boston College
2011,Duke,4,Tulane
2011,Duke,5,FIU
2011,Duke,6,na 
2011,Duke,7,Florida State
2011,Duke,8,Wake Forest
2011,Duke,9,Virginia Tech
2011,Duke,10,Miami
2011,Duke,11,Virginia
2011,Duke,12,Georgia Tech
2011,Duke,13,North Carolina
2011,Eastern Michigan,1,Howard
2011,Eastern Michigan,2,Alabama State
2011,Eastern Michigan,3,Michigan
2011,Eastern Michigan,4,Penn State
2011,Eastern Michigan,5,Akron
2011,Eastern Michigan,6,Toledo
2011,Eastern Michigan,7,Central Michigan
2011,Eastern Michigan,8,Western Michigan
2011,Eastern Michigan,9,na 
2011,Eastern Michigan,10,Ball State
2011,Eastern Michigan,11,Buffalo
2011,Eastern Michigan,12,Kent State
2011,Eastern Michigan,13,Northern Illinois
2011,East Carolina,1,South Carolina
2011,East Carolina,2,Virginia Tech
2011,East Carolina,3,na 
2011,East Carolina,4,UAB
2011,East Carolina,5,North Carolina
2011,East Carolina,6,Houston
2011,East Carolina,7,Memphis
2011,East Carolina,8,Navy
2011,East Carolina,9,Tulane
2011,East Carolina,10,Southern Miss
2011,East Carolina,11,UTEP
2011,East Carolina,12,UCF
2011,East Carolina,13,Marshall
2011,FIU,1,North Texas
2011,FIU,2,Louisville
2011,FIU,3,UCF
2011,FIU,4,Louisiana-Lafayette
2011,FIU,5,Duke
2011,FIU,6,Akron
2011,FIU,7,na 
2011,FIU,8,Arkansas State
2011,FIU,9,Troy
2011,FIU,10,Western Kentucky
2011,FIU,11,Florida Atlantic
2011,FIU,12,Louisiana-Monroe
2011,FIU,13,Middle Tennessee
2011,FIU,15,Marshall
2011,Florida,1,Florida Atlantic
2011,Florida,2,UAB
2011,Florida,3,Tennessee
2011,Florida,4,Kentucky
2011,Florida,5,Alabama
2011,Florida,6,LSU
2011,Florida,7,Auburn
2011,Florida,8,na 
2011,Florida,9,Georgia
2011,Florida,10,Vanderbilt
2011,Florida,11,South Carolina
2011,Florida,12,Furman
2011,Florida,13,Florida State
2011,Florida,15,Ohio State
2011,Florida Atlantic,1,Florida
2011,Florida Atlantic,2,Michigan State
2011,Florida Atlantic,3,na 
2011,Florida Atlantic,4,Auburn
2011,Florida Atlantic,5,Louisiana-Lafayette
2011,Florida Atlantic,6,North Texas
2011,Florida Atlantic,7,Western Kentucky
2011,Florida Atlantic,8,Middle Tennessee
2011,Florida Atlantic,9,na 
2011,Florida Atlantic,10,Arkansas State
2011,Florida Atlantic,11,FIU
2011,Florida Atlantic,12,Troy
2011,Florida Atlantic,13,UAB
2011,Florida Atlantic,14,Louisiana-Monroe
2011,Florida State,1,Louisiana-Monroe
2011,Florida State,2,Charleston Southern
2011,Florida State,3,Oklahoma
2011,Florida State,4,Clemson
2011,Florida State,5,na 
2011,Florida State,6,Wake Forest
2011,Florida State,7,Duke
2011,Florida State,8,Maryland
2011,Florida State,9,NC State
2011,Florida State,10,Boston College
2011,Florida State,11,Miami
2011,Florida State,12,Virginia
2011,Florida State,13,Florida
2011,Florida State,15,Notre Dame
2011,Fresno State,1,California
2011,Fresno State,2,Nebraska
2011,Fresno State,3,North Dakota
2011,Fresno State,4,Idaho
2011,Fresno State,5,Mississippi
2011,Fresno State,6,Boise State
2011,Fresno State,7,Utah State
2011,Fresno State,8,Nevada
2011,Fresno State,9,na 
2011,Fresno State,10,Louisiana Tech
2011,Fresno State,11,New Mexico State
2011,Fresno State,12,Hawaii
2011,Fresno State,13,San Jose State
2011,Fresno State,14,San Diego State
2011,Georgia,1,Boise State
2011,Georgia,2,South Carolina
2011,Georgia,3,Coastal Carolina
2011,Georgia,4,Mississippi
2011,Georgia,5,Mississippi State
2011,Georgia,6,Tennessee
2011,Georgia,7,Vanderbilt
2011,Georgia,8,na 
2011,Georgia,9,Florida
2011,Georgia,10,New Mexico State
2011,Georgia,11,Auburn
2011,Georgia,12,Kentucky
2011,Georgia,13,Georgia Tech
2011,Georgia,14,LSU
2011,Georgia,15,Michigan State
2011,Georgia Tech,1,Western Carolina
2011,Georgia Tech,2,Middle Tennessee
2011,Georgia Tech,3,Kansas
2011,Georgia Tech,4,North Carolina
2011,Georgia Tech,5,NC State
2011,Georgia Tech,6,Maryland
2011,Georgia Tech,7,Virginia
2011,Georgia Tech,8,Miami
2011,Georgia Tech,9,Clemson
2011,Georgia Tech,10,na 
2011,Georgia Tech,11,Virginia Tech
2011,Georgia Tech,12,Duke
2011,Georgia Tech,13,Georgia
2011,Georgia Tech,15,Utah
2011,Hawaii,1,Colorado
2011,Hawaii,2,Washington
2011,Hawaii,3,UNLV
2011,Hawaii,4,California-Davis
2011,Hawaii,5,Louisiana Tech
2011,Hawaii,6,na 
2011,Hawaii,7,San Jose State
2011,Hawaii,8,New Mexico State
2011,Hawaii,9,Idaho
2011,Hawaii,10,Utah State
2011,Hawaii,11,Nevada
2011,Hawaii,12,Fresno State
2011,Hawaii,13,Tulane
2011,Hawaii,14,BYU
2011,Houston,1,UCLA
2011,Houston,2,North Texas
2011,Houston,3,Louisiana Tech
2011,Houston,4,Georgia State
2011,Houston,5,UTEP
2011,Houston,6,East Carolina
2011,Houston,7,na 
2011,Houston,8,Marshall
2011,Houston,9,Rice
2011,Houston,10,UAB
2011,Houston,11,Tulane
2011,Houston,12,SMU
2011,Houston,13,Tulsa
2011,Houston,14,Southern Miss
2011,Houston,15,Penn State
2011,Idaho,1,Bowling Green
2011,Idaho,2,North Dakota
2011,Idaho,3,Texas A&M
2011,Idaho,4,Fresno State
2011,Idaho,5,Virginia
2011,Idaho,6,Louisiana Tech
2011,Idaho,7,New Mexico State
2011,Idaho,8,na 
2011,Idaho,9,Hawaii
2011,Idaho,10,San Jose State
2011,Idaho,11,BYU
2011,Idaho,12,Utah State
2011,Idaho,13,na 
2011,Idaho,14,Nevada
2011,Illinois,1,Arkansas State
2011,Illinois,2,South Dakota State
2011,Illinois,3,Arizona State
2011,Illinois,4,Western Michigan
2011,Illinois,5,Northwestern
2011,Illinois,6,Indiana
2011,Illinois,7,Ohio State
2011,Illinois,8,Purdue
2011,Illinois,9,Penn State
2011,Illinois,10,na 
2011,Illinois,11,Michigan
2011,Illinois,12,Wisconsin
2011,Illinois,13,Minnesota
2011,Illinois,15,UCLA
2011,Indiana,1,Ball State
2011,Indiana,2,Virginia
2011,Indiana,3,South Carolina State
2011,Indiana,4,North Texas
2011,Indiana,5,Penn State
2011,Indiana,6,Illinois
2011,Indiana,7,Wisconsin
2011,Indiana,8,Iowa
2011,Indiana,9,Northwestern
2011,Indiana,10,Ohio State
2011,Indiana,11,na 
2011,Indiana,12,Michigan State
2011,Indiana,13,Purdue
2011,Iowa,1,Tennessee Tech
2011,Iowa,2,Iowa State
2011,Iowa,3,Pittsburgh
2011,Iowa,4,Louisiana-Monroe
2011,Iowa,5,na 
2011,Iowa,6,Penn State
2011,Iowa,7,Northwestern
2011,Iowa,8,Indiana
2011,Iowa,9,Minnesota
2011,Iowa,10,Michigan
2011,Iowa,11,Michigan State
2011,Iowa,12,Purdue
2011,Iowa,13,Nebraska
2011,Iowa,15,Oklahoma
2011,Iowa State,1,Northern Iowa
2011,Iowa State,2,Iowa
2011,Iowa State,3,Connecticut
2011,Iowa State,4,na 
2011,Iowa State,5,Texas
2011,Iowa State,6,Baylor
2011,Iowa State,7,Missouri
2011,Iowa State,8,Texas A&M
2011,Iowa State,9,Texas Tech
2011,Iowa State,10,Kansas
2011,Iowa State,11,na 
2011,Iowa State,12,Oklahoma State
2011,Iowa State,13,Oklahoma
2011,Iowa State,14,Kansas State
2011,Iowa State,15,Rutgers
2011,Kansas,1,McNeese State
2011,Kansas,2,Northern Illinois
2011,Kansas,3,Georgia Tech
2011,Kansas,4,na 
2011,Kansas,5,Texas Tech
2011,Kansas,6,Oklahoma State
2011,Kansas,7,Oklahoma
2011,Kansas,8,Kansas State
2011,Kansas,9,Texas
2011,Kansas,10,Iowa State
2011,Kansas,11,Baylor
2011,Kansas,12,Texas A&M
2011,Kansas,13,Missouri
2011,Kansas State,1,Eastern Kentucky
2011,Kansas State,2,na 
2011,Kansas State,3,Kent State
2011,Kansas State,4,Miami
2011,Kansas State,5,Baylor
2011,Kansas State,6,Missouri
2011,Kansas State,7,Texas Tech
2011,Kansas State,8,Kansas
2011,Kansas State,9,Oklahoma
2011,Kansas State,10,Oklahoma State
2011,Kansas State,11,Texas A&M
2011,Kansas State,12,Texas
2011,Kansas State,13,na 
2011,Kansas State,14,Iowa State
2011,Kansas State,15,Arkansas
2011,Kent State,1,Alabama
2011,Kent State,2,Louisiana-Lafayette
2011,Kent State,3,Kansas State
2011,Kent State,4,South Alabama
2011,Kent State,5,Ohio
2011,Kent State,6,Northern Illinois
2011,Kent State,7,"Miami, OH"
2011,Kent State,8,na 
2011,Kent State,9,Bowling Green
2011,Kent State,10,Central Michigan
2011,Kent State,11,Akron
2011,Kent State,12,Eastern Michigan
2011,Kent State,13,Temple
2011,Kentucky,1,Western Kentucky
2011,Kentucky,2,Central Michigan
2011,Kentucky,3,Louisville
2011,Kentucky,4,Florida
2011,Kentucky,5,LSU
2011,Kentucky,6,South Carolina
2011,Kentucky,7,na 
2011,Kentucky,8,Jacksonville State
2011,Kentucky,9,Mississippi State
2011,Kentucky,10,Mississippi
2011,Kentucky,11,Vanderbilt
2011,Kentucky,12,Georgia
2011,Kentucky,13,Tennessee
2011,Louisiana Tech,1,Southern Miss
2011,Louisiana Tech,2,Central Arkansas
2011,Louisiana Tech,3,Houston
2011,Louisiana Tech,4,Mississippi State
2011,Louisiana Tech,5,Hawaii
2011,Louisiana Tech,6,Idaho
2011,Louisiana Tech,7,na 
2011,Louisiana Tech,8,Utah State
2011,Louisiana Tech,9,San Jose State
2011,Louisiana Tech,10,Fresno State
2011,Louisiana Tech,11,Mississippi
2011,Louisiana Tech,12,Nevada
2011,Louisiana Tech,13,New Mexico State
2011,Louisiana Tech,15,TCU
2011,Louisiana-Lafayette,1,Oklahoma State
2011,Louisiana-Lafayette,2,Kent State
2011,Louisiana-Lafayette,3,Nicholls State 
2011,Louisiana-Lafayette,4,FIU
2011,Louisiana-Lafayette,5,Florida Atlantic
2011,Louisiana-Lafayette,6,Troy
2011,Louisiana-Lafayette,7,North Texas
2011,Louisiana-Lafayette,8,Western Kentucky
2011,Louisiana-Lafayette,9,Middle Tennessee
2011,Louisiana-Lafayette,10,Louisiana-Monroe
2011,Louisiana-Lafayette,11,Arkansas State
2011,Louisiana-Lafayette,12,na 
2011,Louisiana-Lafayette,13,Arizona
2011,Louisiana-Lafayette,15,San Diego State
2011,Louisiana-Monroe,1,Florida State
2011,Louisiana-Monroe,2,Grambling State
2011,Louisiana-Monroe,3,TCU
2011,Louisiana-Monroe,4,Iowa
2011,Louisiana-Monroe,5,na 
2011,Louisiana-Monroe,6,Arkansas State
2011,Louisiana-Monroe,7,Troy
2011,Louisiana-Monroe,8,North Texas
2011,Louisiana-Monroe,9,Western Kentucky
2011,Louisiana-Monroe,10,Louisiana-Lafayette
2011,Louisiana-Monroe,11,Middle Tennessee
2011,Louisiana-Monroe,12,FIU
2011,Louisiana-Monroe,13,na 
2011,Louisiana-Monroe,14,Florida Atlantic
2011,Louisville,1,Murray State
2011,Louisville,2,FIU
2011,Louisville,3,Kentucky
2011,Louisville,4,na 
2011,Louisville,5,Marshall
2011,Louisville,6,North Carolina
2011,Louisville,7,Cincinnati
2011,Louisville,8,Rutgers
2011,Louisville,9,Syracuse
2011,Louisville,10,West Virginia
2011,Louisville,11,Pittsburgh
2011,Louisville,12,Connecticut
2011,Louisville,13,South Florida
2011,Louisville,15,NC State
2011,LSU,1,Oregon
2011,LSU,2,Northwestern State
2011,LSU,3,Mississippi State
2011,LSU,4,West Virginia
2011,LSU,5,Kentucky
2011,LSU,6,Florida
2011,LSU,7,Tennessee
2011,LSU,8,Auburn
2011,LSU,9,na 
2011,LSU,10,Alabama
2011,LSU,11,Western Kentucky
2011,LSU,12,Mississippi
2011,LSU,13,Arkansas
2011,LSU,14,Georgia
2011,LSU,15,Alabama
2011,Marshall,1,West Virginia
2011,Marshall,2,Southern Miss
2011,Marshall,3,Ohio
2011,Marshall,4,Virginia Tech
2011,Marshall,5,Louisville
2011,Marshall,6,UCF
2011,Marshall,7,Rice
2011,Marshall,8,Houston
2011,Marshall,9,UAB
2011,Marshall,10,na 
2011,Marshall,11,Tulsa
2011,Marshall,12,Memphis
2011,Marshall,13,East Carolina
2011,Marshall,15,FIU
2011,Maryland,1,Miami
2011,Maryland,2,na 
2011,Maryland,3,West Virginia
2011,Maryland,4,Temple
2011,Maryland,5,Towson
2011,Maryland,6,Georgia Tech
2011,Maryland,7,Clemson
2011,Maryland,8,Florida State
2011,Maryland,9,Boston College
2011,Maryland,10,Virginia
2011,Maryland,11,Notre Dame
2011,Maryland,12,Wake Forest
2011,Maryland,13,NC State
2011,Memphis,1,Mississippi State
2011,Memphis,2,Arkansas State
2011,Memphis,3,Austin Peay
2011,Memphis,4,SMU
2011,Memphis,5,Middle Tennessee
2011,Memphis,6,Rice
2011,Memphis,7,East Carolina
2011,Memphis,8,Tulane
2011,Memphis,9,UCF
2011,Memphis,10,na 
2011,Memphis,11,UAB
2011,Memphis,12,Marshall
2011,Memphis,13,Southern Miss
2011,Miami,1,Maryland
2011,Miami,2,na 
2011,Miami,3,Ohio State
2011,Miami,4,Kansas State
2011,Miami,5,Bethune-Cookman
2011,Miami,6,Virginia Tech
2011,Miami,7,North Carolina
2011,Miami,8,Georgia Tech
2011,Miami,9,Virginia
2011,Miami,10,Duke
2011,Miami,11,Florida State
2011,Miami,12,South Florida
2011,Miami,13,Boston College
2011,"Miami, OH",1,Missouri
2011,"Miami, OH",2,na 
2011,"Miami, OH",3,Minnesota
2011,"Miami, OH",4,Bowling Green
2011,"Miami, OH",5,Cincinnati
2011,"Miami, OH",6,Army
2011,"Miami, OH",7,Kent State
2011,"Miami, OH",8,Toledo
2011,"Miami, OH",9,Buffalo
2011,"Miami, OH",10,Akron
2011,"Miami, OH",11,Temple
2011,"Miami, OH",12,Western Michigan
2011,Michigan,1,Western Michigan
2011,Michigan,2,Notre Dame
2011,Michigan,3,Eastern Michigan
2011,Michigan,4,San Diego State
2011,Michigan,5,Minnesota
2011,Michigan,6,Northwestern
2011,Michigan,7,Michigan State
2011,Michigan,8,na 
2011,Michigan,9,Purdue
2011,Michigan,10,Iowa
2011,Michigan,11,Illinois
2011,Michigan,12,Nebraska
2011,Michigan,13,Ohio State
2011,Michigan,15,Virginia Tech
2011,Michigan State,1,Youngstown State
2011,Michigan State,2,Florida Atlantic
2011,Michigan State,3,Notre Dame
2011,Michigan State,4,Central Michigan
2011,Michigan State,5,Ohio State
2011,Michigan State,6,na 
2011,Michigan State,7,Michigan
2011,Michigan State,8,Wisconsin
2011,Michigan State,9,Nebraska
2011,Michigan State,10,Minnesota
2011,Michigan State,11,Iowa
2011,Michigan State,12,Indiana
2011,Michigan State,13,Northwestern
2011,Michigan State,14,Wisconsin
2011,Michigan State,15,Georgia
2011,Minnesota,1,USC
2011,Minnesota,2,New Mexico State
2011,Minnesota,3,"Miami, OH"
2011,Minnesota,4,North Dakota State
2011,Minnesota,5,Michigan
2011,Minnesota,6,Purdue
2011,Minnesota,7,na 
2011,Minnesota,8,Nebraska
2011,Minnesota,9,Iowa
2011,Minnesota,10,Michigan State
2011,Minnesota,11,Wisconsin
2011,Minnesota,12,Northwestern
2011,Minnesota,13,Illinois
2011,Mississippi,1,BYU
2011,Mississippi,2,Southern Illinois
2011,Mississippi,3,Vanderbilt
2011,Mississippi,4,Georgia
2011,Mississippi,5,Fresno State
2011,Mississippi,6,na 
2011,Mississippi,7,Alabama
2011,Mississippi,8,Arkansas
2011,Mississippi,9,Auburn
2011,Mississippi,10,Kentucky
2011,Mississippi,11,Louisiana Tech
2011,Mississippi,12,LSU
2011,Mississippi,13,Mississippi State
2011,Mississippi State,1,Memphis
2011,Mississippi State,2,Auburn
2011,Mississippi State,3,LSU
2011,Mississippi State,4,Louisiana Tech
2011,Mississippi State,5,Georgia
2011,Mississippi State,6,UAB
2011,Mississippi State,7,South Carolina
2011,Mississippi State,8,na 
2011,Mississippi State,9,Kentucky
2011,Mississippi State,10,Tennessee-Martin
2011,Mississippi State,11,Alabama
2011,Mississippi State,12,Arkansas
2011,Mississippi State,13,Mississippi
2011,Mississippi State,15,Wake Forest
2011,Missouri,1,"Miami, OH"
2011,Missouri,2,Arizona State
2011,Missouri,3,Western Illinois
2011,Missouri,4,Oklahoma
2011,Missouri,5,na 
2011,Missouri,6,Kansas State
2011,Missouri,7,Iowa State
2011,Missouri,8,Oklahoma State
2011,Missouri,9,Texas A&M
2011,Missouri,10,Baylor
2011,Missouri,11,Texas
2011,Missouri,12,Texas Tech
2011,Missouri,13,Kansas
2011,Missouri,15,North Carolina
2011,Middle Tennessee,1,Purdue
2011,Middle Tennessee,2,Georgia Tech
2011,Middle Tennessee,3,na 
2011,Middle Tennessee,4,Troy
2011,Middle Tennessee,5,Memphis
2011,Middle Tennessee,6,Western Kentucky
2011,Middle Tennessee,7,na 
2011,Middle Tennessee,8,Florida Atlantic
2011,Middle Tennessee,9,Louisiana-Lafayette
2011,Middle Tennessee,10,Tennessee
2011,Middle Tennessee,11,Louisiana-Monroe
2011,Middle Tennessee,12,Arkansas State
2011,Middle Tennessee,13,FIU
2011,Middle Tennessee,14,North Texas
2011,Northern Illinois,1,Army
2011,Northern Illinois,2,Kansas
2011,Northern Illinois,3,Wisconsin
2011,Northern Illinois,4,Cal Poly
2011,Northern Illinois,5,Central Michigan
2011,Northern Illinois,6,Kent State
2011,Northern Illinois,7,Western Michigan
2011,Northern Illinois,8,Buffalo
2011,Northern Illinois,9,na 
